Category,Product,Min Price (INR/kg),Max Price (INR/kg),Average Price (INR/kg)
Fruits,Dates,34.0,47.0,40.5
Fruits,Dates,87.0,103.0,95.0
Fruits,Dates,99.0,121.0,110.0
Fruits,Dates,105.0,144.0,124.5
Fruits,Dates,92.0,129.0,110.5
Fruits,Avocado,60.0,89.0,74.5
Fruits,Avocado,46.0,60.0,53.0
Fruits,Avocado,28.0,52.0,40.0
Fruits,Avocado,48.0,95.0,71.5
Fruits,Avocado,82.0,118.0,100.0
Fruits,Lemon,31.0,57.0,44.0
Fruits,Lemon,82.0,136.0,109.0
Fruits,Lemon,35.0,87.0,61.0
Fruits,Lemon,74.0,93.0,83.5
Fruits,Lemon,24.0,59.0,41.5
Fruits,Grapefruit,53.0,66.0,59.5
Fruits,Grapefruit,61.0,82.0,71.5
Fruits,Grapefruit,93.0,137.0,115.0
Fruits,Grapefruit,68.0,111.0,89.5
Fruits,Grapefruit,111.0,141.0,126.0
Fruits,Guava,45.0,62.0,53.5
Fruits,Guava,90.0,127.0,108.5
Fruits,Guava,109.0,164.0,136.5
Fruits,Guava,46.0,70.0,58.0
Fruits,Guava,66.0,84.0,75.0
Fruits,Blueberries,92.0,152.0,122.0
Fruits,Blueberries,68.0,94.0,81.0
Fruits,Blueberries,27.0,71.0,49.0
Fruits,Blueberries,89.0,141.0,115.0
Fruits,Blueberries,87.0,139.0,113.0
Fruits,Oranges,20.0,53.0,36.5
Fruits,Oranges,24.0,48.0,36.0
Fruits,Oranges,20.0,55.0,37.5
Fruits,Oranges,116.0,127.0,121.5
Fruits,Oranges,118.0,158.0,138.0
Fruits,Pomegranate,46.0,87.0,66.5
Fruits,Pomegranate,100.0,160.0,130.0
Fruits,Pomegranate,112.0,131.0,121.5
Fruits,Pomegranate,80.0,92.0,86.0
Fruits,Pomegranate,80.0,107.0,93.5
Fruits,Figs,72.0,114.0,93.0
Fruits,Figs,94.0,141.0,117.5
Fruits,Figs,66.0,105.0,85.5
Fruits,Figs,33.0,56.0,44.5
Fruits,Figs,94.0,121.0,107.5
Fruits,Apples,97.0,145.0,121.0
Fruits,Apples,56.0,76.0,66.0
Fruits,Apples,57.0,76.0,66.5
Fruits,Apples,30.0,42.0,36.0
Fruits,Apples,104.0,160.0,132.0
Fruits,Melons,119.0,174.0,146.5
Fruits,Melons,120.0,155.0,137.5
Fruits,Melons,67.0,121.0,94.0
Fruits,Melons,27.0,52.0,39.5
Fruits,Melons,89.0,143.0,116.0
Fruits,Pineapple,30.0,79.0,54.5
Fruits,Pineapple,21.0,43.0,32.0
Fruits,Pineapple,94.0,110.0,102.0
Fruits,Pineapple,102.0,161.0,131.5
Fruits,Pineapple,55.0,84.0,69.5
Fruits,Berries,24.0,54.0,39.0
Fruits,Berries,27.0,72.0,49.5
Fruits,Berries,22.0,75.0,48.5
Fruits,Berries,112.0,163.0,137.5
Fruits,Berries,61.0,96.0,78.5
Fruits,Papaya,94.0,138.0,116.0
Fruits,Papaya,115.0,159.0,137.0
Fruits,Papaya,98.0,142.0,120.0
Fruits,Papaya,39.0,51.0,45.0
Fruits,Papaya,30.0,47.0,38.5
Fruits,Watermelon,22.0,49.0,35.5
Fruits,Watermelon,36.0,92.0,64.0
Fruits,Watermelon,39.0,53.0,46.0
Fruits,Watermelon,69.0,115.0,92.0
Fruits,Watermelon,75.0,103.0,89.0
Vegetables,Zucchini,36.0,82.0,59.0
Vegetables,Zucchini,64.0,93.0,78.5
Vegetables,Zucchini,86.0,120.0,103.0
Vegetables,Zucchini,100.0,148.0,124.0
Vegetables,Zucchini,43.0,100.0,71.5
Vegetables,Bell Peppers,70.0,123.0,96.5
Vegetables,Bell Peppers,113.0,163.0,138.0
Vegetables,Bell Peppers,105.0,144.0,124.5
Vegetables,Bell Peppers,67.0,121.0,94.0
Vegetables,Bell Peppers,38.0,58.0,48.0
Vegetables,Bitter Gourd,42.0,56.0,49.0
Vegetables,Bitter Gourd,96.0,111.0,103.5
Vegetables,Bitter Gourd,75.0,87.0,81.0
Vegetables,Bitter Gourd,20.0,69.0,44.5
